"payslipId","employeeNumber","employeeName","position","periodStart",  "periodEnd","totalHours","hourlyRate","grossPay", "riceSubsidy","phoneAllowance","clothingAllowance","sss","philhealth","pagibig","tax","netPay"
"10025-2024-06-C1","10025","Jacklyn  Tolentino","account rank and file","2024-06-01","2024-06-15","87.38","142.86","12483.11","750.0","250.0","250.0","0.0","0.0","0.0","0.0","13733.11"
"10025-2024-06-C2","10025","Jacklyn  Tolentino","account rank and file","2024-06-16","2024-06-30","81.04","142.86","11577.37","750.0","250.0","250.0","1080.0","360.91","481.21","261.07","10644.18"
"10026-2024-06-C1","10026","Percival  Gutierrez","account rank and file","2024-06-01","2024-06-15","89.19","147.32","13139.47","750.0","250.0","250.0","0.0","0.0","0.0","0.0","14389.47"
"10026-2024-06-C2","10026","Percival  Gutierrez","account rank and file","2024-06-16","2024-06-30","90.88","147.32","13388.44","750.0","250.0","250.0","1125.0","397.92","530.56","728.29","11856.67"
"10027-2024-06-C1","10027","Garfield  Manalaysay","account rank and file","2024-06-01","2024-06-15","89.74","147.32","13220.5","750.0","250.0","250.0","0.0","0.0","0.0","0.0","14470.5"
"10027-2024-06-C2","10027","Garfield  Manalaysay","account rank and file","2024-06-16","2024-06-30","93.57","147.32","13784.73","750.0","250.0","250.0","1125.0","405.08","540.1","820.41","12144.14"
"10028-2024-06-C1","10028","Lizeth  Villegas","account rank and file","2024-06-01","2024-06-15","91.96","142.86","13137.41","750.0","250.0","250.0","0.0","0.0","0.0","0.0","14387.41"
"10028-2024-06-C2","10028","Lizeth  Villegas","account rank and file","2024-06-16","2024-06-30","86.34","142.86","12334.53","750.0","250.0","250.0","1125.0","382.08","509.44","524.48","11043.53"
"10029-2024-06-C1","10029","Carol  Ramos","account rank and file","2024-06-01","2024-06-15","92.02","133.93","12324.24","750.0","250.0","250.0","0.0","0.0","0.0","0.0","13574.24"
"10029-2024-06-C2","10029","Carol  Ramos","account rank and file","2024-06-16","2024-06-30","90.54","133.93","12126.02","750.0","250.0","250.0","1102.5","366.75","489.01","331.8","11085.960000000001"
"10030-2024-06-C1","10030","Emelia  Maceda","account rank and file","2024-06-01","2024-06-15","89.13","133.93","11937.18","750.0","250.0","250.0","0.0","0.0","0.0","0.0","13187.18"
"10030-2024-06-C2","10030","Emelia  Maceda","account rank and file","2024-06-16","2024-06-30","89.73","133.93","12017.54","750.0","250.0","250.0","1080.0","359.32","479.09","240.66","11108.470000000001"
"10031-2024-06-C1","10031","Delia  Aguilar","account rank and file","2024-06-01","2024-06-15","92.22","133.93","12351.02","750.0","250.0","250.0","0.0","0.0","0.0","0.0","13601.02"
"10031-2024-06-C2","10031","Delia  Aguilar","account rank and file","2024-06-16","2024-06-30","91.94","133.93","12313.52","750.0","250.0","250.0","1102.5","369.97","493.29","373.16","11224.6"
"10032-2024-06-C1","10032","John Rafael Castro","sales & marketing","2024-06-01","2024-06-15","93.73","313.51","29385.29","750.0","500.0","500.0","0.0","0.0","0.0","0.0","31135.29"
"10032-2024-06-C2","10032","John Rafael Castro","sales & marketing","2024-06-16","2024-06-30","86.79","313.51","27209.53","750.0","500.0","500.0","1125.0","848.92","1131.9","7539.0","18314.71"
"10033-2024-06-C1","10033","Carlos Ian Martinez","supply chain and logistics","2024-06-01","2024-06-15","91.93","313.51","28820.97","750.0","500.0","500.0","0.0","0.0","0.0","0.0","30570.97"
"10033-2024-06-C2","10033","Carlos Ian Martinez","supply chain and logistics","2024-06-16","2024-06-30","84.6","313.51","26522.95","750.0","500.0","500.0","1125.0","830.16","1106.88","7237.22","17973.690000000002"
"10034-2024-06-C1","10034","Beatriz Santos","customer service and relations","2024-06-01","2024-06-15","88.66","313.51","27795.8","750.0","500.0","500.0","0.0","0.0","0.0","0.0","29545.8"
"10034-2024-06-C2","10034","Beatriz Santos","customer service and relations","2024-06-16","2024-06-30","91.85","313.51","28795.89","750.0","500.0","500.0","1125.0","848.88","1131.83","7538.25","19901.93"
"10001-2024-07-C1","10001","Manuel III Garcia","chief executive officer","2024-07-01","2024-07-15","102.92","535.71","55135.27","750.0","1000.0","500.0","0.0","0.0","0.0","0.0","57385.27"
"10001-2024-07-C2","10001","Manuel III Garcia","chief executive officer","2024-07-16","2024-07-31","108.61","535.71","58183.46","750.0","1000.0","500.0","1125.0","900.0","2266.37","23541.11","32600.98"
"10002-2024-07-C1","10002","Antonio Lim","chief operating officer","2024-07-01","2024-07-15","94.86","357.14","33878.3","750.0","1000.0","500.0","0.0","0.0","0.0","0.0","36128.3"
"10002-2024-07-C2","10002","Antonio Lim","chief operating officer","2024-07-16","2024-07-31","101.28","357.14","36171.14","750.0","1000.0","500.0","1125.0","900.0","1400.99","10822.61","24172.54"
"10003-2024-07-C1","10003","Bianca Sofia Aquino","chief finance officer","2024-07-01","2024-07-15","104.16","357.14","37199.7","750.0","1000.0","500.0","0.0","0.0","0.0","0.0","39449.7"
"10003-2024-07-C2","10003","Bianca Sofia Aquino","chief finance officer","2024-07-16","2024-07-31","107.02","357.14","38221.12","750.0","1000.0","500.0","1125.0","900.0","1508.42","12399.12","24538.58"
"10004-2024-07-C1","10004","Isabella Reyes","chief marketing officer","2024-07-01","2024-07-15","101.68","357.14","36314.0","750.0","1000.0","500.0","0.0","0.0","0.0","0.0","38564.0"
"10004-2024-07-C2","10004","Isabella Reyes","chief marketing officer","2024-07-16","2024-07-31","107.53","357.14","38403.26","750.0","1000.0","500.0","1125.0","900.0","1494.35","12192.27","24941.64"
"10005-2024-07-C1","10005","Eduard Hernandez","it operations and systems","2024-07-01","2024-07-15","94.47","313.51","29617.29","750.0","500.0","500.0","0.0","0.0","0.0","0.0","31367.29"
"10005-2024-07-C2","10005","Eduard Hernandez","it operations and systems","2024-07-16","2024-07-31","102.86","313.51","32247.64","750.0","500.0","500.0","1125.0","900.0","1237.3","8817.41","21917.93"
"10006-2024-07-C1","10006","Andrea Mae Villanueva","hr manager","2024-07-01","2024-07-15","93.65","313.51","29360.21","750.0","500.0","500.0","0.0","0.0","0.0","0.0","31110.21"
"10006-2024-07-C2","10006","Andrea Mae Villanueva","hr manager","2024-07-16","2024-07-31","107.98","313.51","33852.81","750.0","500.0","500.0","1125.0","900.0","1264.26","9147.69","23165.859999999997"
"10007-2024-07-C1","10007","Brad  San Jose","hr team leader","2024-07-01","2024-07-15","104.63","255.8","26764.35","750.0","400.0","400.0","0.0","0.0","0.0","0.0","28314.35"
"10007-2024-07-C2","10007","Brad  San Jose","hr team leader","2024-07-16","2024-07-31","108.16","255.8","27667.33","750.0","400.0","400.0","1125.0","816.48","1088.63","7017.14","19170.08"
"10008-2024-07-C1","10008","Alice Romualdez","hr rank and file","2024-07-01","2024-07-15","97.07","133.93","13000.59","750.0","250.0","250.0","0.0","0.0","0.0","0.0","14250.59"
"10008-2024-07-C2","10008","Alice Romualdez","hr rank and file","2024-07-16","2024-07-31","114.53","133.93","15339.0","750.0","250.0","250.0","1125.0","425.09","566.79","1077.94","13394.18"
"10009-2024-07-C1","10009","Rosie  Atienza","hr rank and file","2024-07-01","2024-07-15","92.34","133.93","12367.1","750.0","250.0","250.0","0.0","0.0","0.0","0.0","13617.1"
"10009-2024-07-C2","10009","Rosie  Atienza","hr rank and file","2024-07-16","2024-07-31","109.46","133.93","14659.98","750.0","250.0","250.0","1125.0","405.41","540.54","824.62","13014.41"
"10010-2024-07-C1","10010","Roderick Alvaro","accounting head","2024-07-01","2024-07-15","102.32","313.51","32078.34","750.0","500.0","500.0","0.0","0.0","0.0","0.0","33828.34"
"10010-2024-07-C2","10010","Roderick Alvaro","accounting head","2024-07-16","2024-07-31","107.39","313.51","33667.84","750.0","500.0","500.0","1125.0","900.0","1314.92","9768.31","22309.609999999997"
"10011-2024-07-C1","10011","Anthony Salcedo","payroll manager","2024-07-01","2024-07-15","100.44","302.53","30386.11","750.0","500.0","500.0","0.0","0.0","0.0","0.0","32136.11"
"10011-2024-07-C2","10011","Anthony Salcedo","payroll manager","2024-07-16","2024-07-31","104.74","302.53","31686.99","750.0","500.0","500.0","1125.0","900.0","1241.46","8868.41","21302.120000000006"
"10012-2024-07-C1","10012","Josie  Lopez","payroll team leader","2024-07-01","2024-07-15","99.46","229.02","22778.33","750.0","400.0","400.0","0.0","0.0","0.0","0.0","24328.33"
"10012-2024-07-C2","10012","Josie  Lopez","payroll team leader","2024-07-16","2024-07-31","103.55","229.02","23715.02","750.0","400.0","400.0","1125.0","697.4","929.87","5102.02","17410.73"
"10013-2024-07-C1","10013","Martha Farala","payroll rank and file","2024-07-01","2024-07-15","96.89","142.86","13841.71","750.0","250.0","250.0","0.0","0.0","0.0","0.0","15091.71"
"10013-2024-07-C2","10013","Martha Farala","payroll rank and file","2024-07-16","2024-07-31","102.99","142.86","14713.15","750.0","250.0","250.0","1125.0","428.32","571.1","1119.49","12719.24"
"10014-2024-07-C1","10014","Leila Martinez","payroll rank and file","2024-07-01","2024-07-15","99.12","142.86","14160.28","750.0","250.0","250.0","0.0","0.0","0.0","0.0","15410.28"
"10014-2024-07-C2","10014","Leila Martinez","payroll rank and file","2024-07-16","2024-07-31","109.97","142.86","15710.31","750.0","250.0","250.0","1125.0","448.06","597.41","1373.43","13416.409999999998"
"10015-2024-07-C1","10015","Fredrick  Romualdez","account manager","2024-07-01","2024-07-15","96.27","318.45","30657.18","750.0","500.0","500.0","0.0","0.0","0.0","0.0","32407.18"
"10015-2024-07-C2","10015","Fredrick  Romualdez","account manager","2024-07-16","2024-07-31","112.11","318.45","35701.43","750.0","500.0","500.0","1125.0","900.0","1327.17","9918.36","24180.9"
"10016-2024-07-C1","10016","Christian Mata","account team leader","2024-07-01","2024-07-15","98.76","255.8","25262.81","750.0","400.0","400.0","0.0","0.0","0.0","0.0","26812.81"
"10016-2024-07-C2","10016","Christian Mata","account team leader","2024-07-16","2024-07-31","113.1","255.8","28930.98","750.0","400.0","400.0","1125.0","812.91","1083.88","6959.75","20499.44"
"10017-2024-07-C1","10017","Selena  De Leon","account team leader","2024-07-01","2024-07-15","102.9","249.11","25633.42","750.0","400.0","400.0","0.0","0.0","0.0","0.0","27183.42"
"10017-2024-07-C2","10017","Selena  De Leon","account team leader","2024-07-16","2024-07-31","115.36","249.11","28737.33","750.0","400.0","400.0","1125.0","815.56","1087.42","7002.44","20256.910000000003"
"10018-2024-07-C1","10018","Allison  San Jose","account rank and file","2024-07-01","2024-07-15","102.22","133.93","13690.32","750.0","250.0","250.0","0.0","0.0","0.0","0.0","14940.32"
"10018-2024-07-C2","10018","Allison  San Jose","account rank and file","2024-07-16","2024-07-31","114.79","133.93","15373.82","750.0","250.0","250.0","1125.0","435.96","581.28","1217.78","13263.8"
"10019-2024-07-C1","10019","Cydney  Rosario","account rank and file","2024-07-01","2024-07-15","100.88","133.93","13510.86","750.0","250.0","250.0","0.0","0.0","0.0","0.0","14760.86"
"10019-2024-07-C2","10019","Cydney  Rosario","account rank and file","2024-07-16","2024-07-31","108.47","133.93","14527.39","750.0","250.0","250.0","1125.0","420.57","560.77","1019.78","12651.27"
"10020-2024-07-C1","10020","Mark  Bautista","account rank and file","2024-07-01","2024-07-15","96.77","138.39","13392.0","750.0","250.0","250.0","0.0","0.0","0.0","0.0","14642.0"
"10020-2024-07-C2","10020","Mark  Bautista","account rank and file","2024-07-16","2024-07-31","111.2","138.39","15388.97","750.0","250.0","250.0","1125.0","431.71","575.62","1163.13","13343.510000000002"
"10021-2024-07-C1","10021","Darlene  Lazaro","account rank and file","2024-07-01","2024-07-15","95.55","138.39","13223.16","750.0","250.0","250.0","0.0","0.0","0.0","0.0","14473.16"
"10021-2024-07-C2","10021","Darlene  Lazaro","account rank and file","2024-07-16","2024-07-31","110.76","138.39","15328.08","750.0","250.0","250.0","1125.0","428.27","571.02","1118.79","13335.000000000002"
"10022-2024-07-C1","10022","Kolby  Delos Santos","account rank and file","2024-07-01","2024-07-15","98.9","142.86","14128.85","750.0","250.0","250.0","0.0","0.0","0.0","0.0","15378.85"
"10022-2024-07-C2","10022","Kolby  Delos Santos","account rank and file","2024-07-16","2024-07-31","105.49","142.86","15070.3","750.0","250.0","250.0","1125.0","437.99","583.98","1243.84","12929.489999999998"
"10023-2024-07-C1","10023","Vella  Santos","account rank and file","2024-07-01","2024-07-15","92.97","133.93","12451.47","750.0","250.0","250.0","0.0","0.0","0.0","0.0","13701.47"
"10023-2024-07-C2","10023","Vella  Santos","account rank and file","2024-07-16","2024-07-31","109.19","133.93","14623.82","750.0","250.0","250.0","1125.0","406.13","541.51","833.93","12967.25"
"10024-2024-07-C1","10024","Tomas Del Rosario","account rank and file","2024-07-01","2024-07-15","98.2","133.93","13151.93","750.0","250.0","250.0","0.0","0.0","0.0","0.0","14401.93"
"10024-2024-07-C2","10024","Tomas Del Rosario","account rank and file","2024-07-16","2024-07-31","113.25","133.93","15167.57","750.0","250.0","250.0","1125.0","424.79","566.39","1074.06","13227.33"
"10025-2024-07-C1","10025","Jacklyn  Tolentino","account rank and file","2024-07-01","2024-07-15","97.92","142.86","13988.85","750.0","250.0","250.0","0.0","0.0","0.0","0.0","15238.85"
"10025-2024-07-C2","10025","Jacklyn  Tolentino","account rank and file","2024-07-16","2024-07-31","105.25","142.86","15036.02","750.0","250.0","250.0","1125.0","435.37","580.5","1210.2","12934.95"
"10026-2024-07-C1","10026","Percival  Gutierrez","account rank and file","2024-07-01","2024-07-15","102.42","147.32","15088.51","750.0","250.0","250.0","0.0","0.0","0.0","0.0","16338.51"
"10026-2024-07-C2","10026","Percival  Gutierrez","account rank and file","2024-07-16","2024-07-31","107.03","147.32","15767.66","750.0","250.0","250.0","1125.0","462.84","617.12","1563.64","13249.06"
"10027-2024-07-C1","10027","Garfield  Manalaysay","account rank and file","2024-07-01","2024-07-15","103.57","147.32","15257.93","750.0","250.0","250.0","0.0","0.0","0.0","0.0","16507.93"
"10027-2024-07-C2","10027","Garfield  Manalaysay","account rank and file","2024-07-16","2024-07-31","102.13","147.32","15045.79","750.0","250.0","250.0","1125.0","454.56","606.07","1457.02","12653.140000000001"
"10028-2024-07-C1","10028","Lizeth  Villegas","account rank and file","2024-07-01","2024-07-15","97.54","142.86","13934.56","750.0","250.0","250.0","0.0","0.0","0.0","0.0","15184.56"
"10028-2024-07-C2","10028","Lizeth  Villegas","account rank and file","2024-07-16","2024-07-31","111.24","142.86","15891.75","750.0","250.0","250.0","1125.0","447.39","596.53","1364.88","13607.95"
"10029-2024-07-C1","10029","Carol  Ramos","account rank and file","2024-07-01","2024-07-15","107.15","133.93","14350.6","750.0","250.0","250.0","0.0","0.0","0.0","0.0","15600.6"
"10029-2024-07-C2","10029","Carol  Ramos","account rank and file","2024-07-16","2024-07-31","111.93","133.93","14990.78","750.0","250.0","250.0","1125.0","440.12","586.83","1271.29","12817.54"
"10030-2024-07-C1","10030","Emelia  Maceda","account rank and file","2024-07-01","2024-07-15","92.91","133.93","12443.44","750.0","250.0","250.0","0.0","0.0","0.0","0.0","13693.44"
"10030-2024-07-C2","10030","Emelia  Maceda","account rank and file","2024-07-16","2024-07-31","108.68","133.93","14555.51","750.0","250.0","250.0","1125.0","404.98","539.98","819.2","12916.35"
"10031-2024-07-C1","10031","Delia  Aguilar","account rank and file","2024-07-01","2024-07-15","96.58","133.93","12934.96","750.0","250.0","250.0","0.0","0.0","0.0","0.0","14184.96"
"10031-2024-07-C2","10031","Delia  Aguilar","account rank and file","2024-07-16","2024-07-31","102.47","133.93","13723.81","750.0","250.0","250.0","1125.0","399.88","533.18","753.54","12162.21"
"10032-2024-07-C1","10032","John Rafael Castro","sales & marketing","2024-07-01","2024-07-15","95.54","313.51","29952.75","750.0","500.0","500.0","0.0","0.0","0.0","0.0","31702.75"
"10032-2024-07-C2","10032","John Rafael Castro","sales & marketing","2024-07-16","2024-07-31","110.58","313.51","34667.94","750.0","500.0","500.0","1125.0","900.0","1292.41","9492.57","23607.960000000003"
"10033-2024-07-C1","10033","Carlos Ian Martinez","supply chain and logistics","2024-07-01","2024-07-15","95.84","313.51","30046.8","750.0","500.0","500.0","0.0","0.0","0.0","0.0","31796.8"
"10033-2024-07-C2","10033","Carlos Ian Martinez","supply chain and logistics","2024-07-16","2024-07-31","109.98","313.51","34479.83","750.0","500.0","500.0","1125.0","900.0","1290.53","9469.52","23444.780000000002"
"10034-2024-07-C1","10034","Beatriz Santos","customer service and relations","2024-07-01","2024-07-15","95.07","313.51","29805.4","750.0","500.0","500.0","0.0","0.0","0.0","0.0","31555.4"
"10034-2024-07-C2","10034","Beatriz Santos","customer service and relations","2024-07-16","2024-07-31","109.58","313.51","34354.43","750.0","500.0","500.0","1125.0","900.0","1283.2","9379.66","23416.57"
"10001-2024-08-C1","10001","Manuel III Garcia","chief executive officer","2024-08-01","2024-08-15","95.8","535.71","51321.02","750.0","1000.0","500.0","0.0","0.0","0.0","0.0","53571.02"
"10001-2024-08-C2","10001","Manuel III Garcia","chief executive officer","2024-08-16","2024-08-31","99.68","535.71","53399.57","750.0","1000.0","500.0","1125.0","900.0","2094.41","21013.25","30516.91"
"10002-2024-08-C1","10002","Antonio Lim","chief operating officer","2024-08-01","2024-08-15","100.94","357.14","36049.71","750.0","1000.0","500.0","0.0","0.0","0.0","0.0","38299.71"
"10002-2024-08-C2","10002","Antonio Lim","chief operating officer","2024-08-16","2024-08-31","99.89","357.14","35674.71","750.0","1000.0","500.0","1125.0","900.0","1434.49","11312.38","23152.84"
"10003-2024-08-C1","10003","Bianca Sofia Aquino","chief finance officer","2024-08-01","2024-08-15","98.45","357.14","35160.43","750.0","1000.0","500.0","0.0","0.0","0.0","0.0","37410.43"
"10003-2024-08-C2","10003","Bianca Sofia Aquino","chief finance officer","2024-08-16","2024-08-31","101.21","357.14","36146.14","750.0","1000.0","500.0","1125.0","900.0","1426.13","11189.53","23755.48"
"10004-2024-08-C1","10004","Isabella Reyes","chief marketing officer","2024-08-01","2024-08-15","100.75","357.14","35981.85","750.0","1000.0","500.0","0.0","0.0","0.0","0.0","38231.85"
"10004-2024-08-C2","10004","Isabella Reyes","chief marketing officer","2024-08-16","2024-08-31","93.2","357.14","33285.45","750.0","1000.0","500.0","1125.0","900.0","1385.35","10630.99","21494.109999999997"
"10005-2024-08-C1","10005","Eduard Hernandez","it operations and systems","2024-08-01","2024-08-15","95.79","313.51","30031.12","750.0","500.0","500.0","0.0","0.0","0.0","0.0","31781.12"
"10005-2024-08-C2","10005","Eduard Hernandez","it operations and systems","2024-08-16","2024-08-31","97.15","313.51","30457.5","750.0","500.0","500.0","1125.0","900.0","1209.77","8480.21","20492.52"
